subject,body,category,priority,channel
Request: audit log for team accounts,Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap? Regards.,Feature Request,Low,Email
XSS vulnerability in your web app,Honestly this is really frustrating. My API key is being used to make calls I didn't authorize. Something has compromised it. Regards.,Security Concern,Urgent,Web Form
Application grinding to a halt,I'm writing to urgently request help. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves.,Performance Issue,High,Phone
Still waiting on my refund,I'm very disappointed with the service. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed.,Refund Request,Medium,Web Form
Data breach concern – please investigate,I've been a loyal customer and this is unacceptable. There are two unfamiliar devices listed in my active sessions. I don't own those devices. Please remove them.,Security Concern,Urgent,Email
Bank shows charge but account not activated,I'm very disappointed with the service. I paid via bank transfer three days ago but my account still shows as unpaid. Please reconcile this.,Payment Problem,Urgent,Web Form
Browser login works but app doesn't,Following up again as I haven't heard back. The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there.,Login Issue,Urgent,Chat
Everything delayed since this morning,"I'm writing to urgently request help. This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. Regards.",Performance Issue,High,Phone
Credit card declined incorrectly,Thanks in advance for your help. Your checkout page is broken on mobile. It spins forever after I hit submit but never confirms the payment. Regards.,Payment Problem,Urgent,Email
My payment method isn't being accepted,I'm writing to urgently request help. Your payment page gave me an error code 9597 during checkout. I can't complete my purchase. Thanks.,Payment Problem,Medium,Web Form
Images not uploading properly,I'm writing to urgently request help. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time.,Bug Report,High,Web Form
Feature request: role-based access control,A drag-and-drop interface for organizing tasks would make the platform much more intuitive to use.,Feature Request,Low,Email
Possible SQL injection vulnerability found,I discovered what appears to be a SQL injection vulnerability in your search parameter. Please fix it urgently. I expect to hear back within 24 hours.,Security Concern,Urgent,Chat
Where is my refund?,My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed.,Refund Request,Medium,Chat
Cancel and refund remaining days,I'm writing to urgently request help. I want to cancel our annual plan. We're 4 months in. Please advise on the cancellation process. Thanks.,Subscription Cancellation,High,Email
Accidental purchase – please refund,I want a reimbursement for the subscription that was auto-renewed without my consent. Thank you for your time.,Refund Request,High,Web Form
Can you add multi-language support?,I'm not sure who to contact so I'm trying here. We share the portal with clients and need our own branding on it. White-labeling would be very valuable. I expect to hear back within 24 hours.,Feature Request,Medium,Chat
Button not responding on dashboard,I'm writing to urgently request help. The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time. Thanks.,Bug Report,Medium,Chat
Request: audit log for team accounts,I'd appreciate a quick response. We need role-based access control so we can limit what different team members can see and edit. Thank you for your time.,Feature Request,Medium,Email
Refund owed from last month,I've been a loyal customer and this is unacceptable. I never received the product I paid for. Please issue a full refund as soon as possible.,Refund Request,Medium,Email
Account accessed from another country,There are two unfamiliar devices listed in my active sessions. I don't own those devices. Please remove them.,Security Concern,High,Email
Unable to reset my password,Honestly this is really frustrating. I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in? Regards.,Login Issue,High,Chat
Dark mode glitches in settings,I'd appreciate a quick response. The search bar returns completely irrelevant results. If I search for 'invoice' I get random user profile pages.,Bug Report,Medium,Social Media
Where is my refund?,This is the third time I'm reaching out about this. Requesting refund for services not rendered. The feature I paid for was unavailable throughout the month. I appreciate your help.,Refund Request,High,Email
Feature request: dark mode,We need role-based access control so we can limit what different team members can see and edit. Looking forward to a resolution.,Feature Request,Low,Phone
Would love a native desktop app,A weekly email digest with a summary of activity would be very useful. Even a simple version would help. Looking forward to a resolution.,Feature Request,Medium,Web Form
Your servers seem overloaded today,I'm not sure who to contact so I'm trying here. Our video conferencing feature buffers every 30 seconds. It's making calls completely unusable.,Performance Issue,Medium,Phone
Receiving phishing emails claiming to be from you,I'm very disappointed with the service. I can access another user's private data through a URL parameter change. This is a serious vulnerability. Thank you for your time.,Security Concern,High,Email
I want my payment reversed,I'm writing to urgently request help. I was overcharged by $99 compared to my plan price. Please refund the difference. Regards.,Refund Request,High,Chat
Invoice shows incorrect amount,My card was declined even though I have sufficient funds and the card is active. Please help. Thank you for your time.,Payment Problem,Medium,Phone
Billing cycle confusion – wrong amount charged,I'm very disappointed with the service. My payment went through on my bank's end but the system says it failed and my account isn't activated. Please fix this. Thank you for your time.,Payment Problem,High,Email
Charged in wrong currency,I'm very disappointed with the service. Your payment page gave me an error code 3842 during checkout. I can't complete my purchase. Looking forward to a resolution.,Payment Problem,High,Web Form
Notifications not appearing,Following up again as I haven't heard back. I exported a PDF report and entire sections are missing. The data is there in the app but not in the export.,Bug Report,High,Social Media
Session keeps expiring immediately,Following up again as I haven't heard back. Login keeps telling me my account doesn't exist but I've been a customer for two years.,Login Issue,High,Web Form
Strange emails being sent from my account,Honestly this is really frustrating. I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately. Regards.,Security Concern,High,Email
Request: custom branding for client portals,Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap?,Feature Request,Low,Social Media
App is extremely slow today,I'm not sure who to contact so I'm trying here. The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Please respond ASAP.,Performance Issue,Medium,Phone
Cannot load any page – timeout errors,I hope you can assist me quickly. The delay in loading data has tripled compared to last week. Please look into server-side performance.,Performance Issue,Medium,Chat
App freezes when opening large files,I've been a loyal customer and this is unacceptable. Every time I submit the onboarding form I get a 500 internal server error. I've tried three different browsers. Thank you for your time.,Bug Report,High,Web Form
Platform lagging during peak hours,This is the third time I'm reaching out about this. Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish. Looking forward to a resolution.,Performance Issue,Medium,Chat
Login page keeps refreshing without signing me in,Following up again as I haven't heard back. The password reset link you sent me expired before I could use it. Please send a new one.,Login Issue,Urgent,Web Form
XSS vulnerability in your web app,Someone changed the email address on my account without my permission. I need this reversed immediately.,Security Concern,Urgent,Email
Promo code not applied to invoice,I'm writing to urgently request help. I paid via bank transfer three days ago but my account still shows as unpaid. Please reconcile this. I appreciate your help.,Payment Problem,Urgent,Phone
Attachment upload stuck at 99%,Honestly this is really frustrating. The dropdown in the user settings panel disappears the moment I click it. I can't select anything. Thank you for your time.,Bug Report,Medium,Chat
Strange emails being sent from my account,I'm writing to urgently request help. I accidentally exposed my API key in a public repo. Please revoke it immediately and issue a new one. I appreciate your help.,Security Concern,Urgent,Phone
Error during payment processing,Thanks in advance for your help. My bank says the payment cleared but your system still shows my account as past due.,Payment Problem,Urgent,Email
Payment confirmation email never arrived,I'm not sure who to contact so I'm trying here. I cancelled before the billing date but was still charged. Please remove the charge. Regards.,Payment Problem,High,Chat
Security audit raised concerns about your platform,I'd appreciate a quick response. Our security team flagged several issues with your platform during an audit. Please contact our CISO. I expect to hear back within 24 hours.,Security Concern,High,Email
Platform down or extremely slow?,We're losing productivity because of these slow load times. Our entire workflow runs through your platform. Best.,Performance Issue,Medium,Social Media
Images not uploading properly,The iOS app crashes immediately after the splash screen on iPhone 15 running iOS 17.4. I appreciate your help.,Bug Report,High,Email
Unknown devices listed in my account,Thanks in advance for your help. I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise.,Security Concern,Urgent,Chat
Account disabled without explanation,This is the third time I'm reaching out about this. I tried to log in using my Google account but I get an error that says the OAuth request failed. I appreciate your help.,Login Issue,Urgent,Web Form
Account accessed from another country,Honestly this is really frustrating. Our team account shows activity from an IP we don't recognize. We suspect unauthorized access. Please respond ASAP.,Security Concern,High,Phone
